ID,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,Nazwa,Czas ostatniej modyfikacji,"Masz jakiś pomysł na projekt data? Napisz nam o tym. Jeżeli to nie ten moment, pozostaw puste pole.",W jaki sposób chcesz uczestniczyć w Community?,Programming: R,Programming: Python,Programming: Bash,Version Control: GIT,Containers: Docker,"CLI: (np. Bash, PowerShell, CMD)","Front End: (HTML, JavaScript, CSS)",Databases: SQL,Databases: NoSQL,Cloud: Azure,Cloud: AWS,Cloud: GPC,BI: PowerBI,BI: Tableau,Area: Time Series,"Area: Classical ML (Clustering, Regression, Classification)",Area: NLP,Area: Computer Vision,Project Management,Promocja w Social Media,Ux/Ui,Projektowanie graficzne,Nawiązywanie Relacji z Biznesem,Nawiązywanie Relacji z naukowcami,Pozyskiwanie finansowania,Współpraca z administracją UEW,"Jeżeli jest obszar, na którym się znasz i chcesz go wykorzystać, dopisz go:",FinTech,HealthTech,FashionTech,E-commerce,SportTech,Non-profit,PropTech (nieruchomości),Cybersecurity,HR,"Jeżeli pominięto branżę, na której się znasz dopisz ją:"
1,3/5/24 15:25:52,3/5/24 15:33:04,anonymous,,,"Projekt ""data"" będący mobilną stacją benzynową, umożliwiającą zdalne tankowanie na bezobsługowych stacjach i organizację miesięcznych kosztów zużycia paliwa.","Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2,3,3,4,3,4,4,3,3,3,2,2,3,3,2,2,2,2,3,4,4,4,3,3,3,2,,3,2,3,3,3,2,3,2,2,
2,3/5/24 15:29:46,3/5/24 15:35:02,anonymous,,,,Chcę uczestniczyć w projekcie data,3,3,1,3,2,2,1,4,2,2,1,1,4,1,3,3,2,2,2,3,3,3,2,2,1,1,,2,2,2,2,2,2,2,2,2,
3,3/5/24 15:16:30,3/5/24 15:37:17,anonymous,,,,Chcę uczestniczyć w projekcie data,0,1,0,1,0,0,0,3,0,0,0,0,2,0,1,3,0,0,3,2,2,2,2,2,2,2,,3,0,0,2,0,1,2,0,0,
4,3/5/24 15:34:17,3/5/24 15:38:01,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",3,3,2,2,2,2,1,3,2,2,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,3,Excel,3,2,2,3,1,3,1,2,1,
5,3/5/24 15:34:26,3/5/24 15:38:20,anonymous,,,Wirtualni doradcy wpływający na pozytywną zmianę w zachowaniu konsumenta. Np zwiększenie skłonności do oszczędzania i planowania finansowego.,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",3,3,2,2,2,2,1,3,1,1,2,1,1,3,1,4,3,1,2,1,1,1,4,4,1,3,,3,3,1,1,1,2,1,1,2,LawTech
6,3/5/24 15:25:26,3/5/24 15:42:56,anonymous,,,modelowanie ryzyka kredytowego ,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1,3,2,2,2,2,2,3,2,2,2,2,2,1,3,2,2,2,3,1,1,1,3,3,3,3,Organizacja eventów,4,2,1,2,1,2,3,2,1,
7,3/5/24 15:38:47,3/5/24 15:43:21,anonymous,,,,Chcę uczestniczyć w projekcie data,2,3,2,2,2,2,1,3,2,2,2,0,2,2,0,0,0,0,2,1,2,1,2,1,1,1,"Testowanie oprogramowania, proste automaty z użyciem selenium.",2,0,1,1,1,2,1,1,1,
8,3/5/24 15:50:55,3/5/24 15:52:28,anonymous,,,,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3/5/24 16:03:01,3/5/24 16:08:52,anonymous,,,,Chcę uczestniczyć w projekcie data,3,2,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,1,1,1,1,1,1,1,1,,1,1,0,2,0,1,0,1,1,
10,3/5/24 16:34:12,3/5/24 16:38:41,anonymous,,,Analiza ruchu drogowego we Wrocławiu na podstawie nagrań z kamer - pozyskanych samodzielnie lub od Gminy Wrocław,Chcę uczestniczyć w projekcie data,1,3,2,2,2,2,2,4,2,3,2,2,4,3,2,3,2,2,3,1,1,1,3,2,2,2,Drążenie Dancyh (Data Mining),2,2,2,2,2,2,2,2,2,"Life Sciences, trochę się znam"
