Participant ID,Community Participation,Programming: R,Programming: Python,Programming: Bash,Version Control: GIT,Containers: Docker,"CLI: (np. Bash, PowerShell, CMD)","Front End: (HTML, JavaScript, CSS)",Databases: SQL,Databases: NoSQL,Cloud: Azure,Cloud: AWS,Cloud: GPC,BI: PowerBI,BI: Tableau,Area: Time Series,"Area: Classical ML (Clustering, Regression, Classification)",Area: NLP,Area: Computer Vision,Project Management,Promocja w Social Media,Ux/Ui,Projektowanie graficzne,Nawiązywanie Relacji z Biznesem,Nawiązywanie Relacji z naukowcami,Pozyskiwanie finansowania,Współpraca z administracją UEW,"Jeżeli jest obszar, na którym się znasz i chcesz go wykorzystać, dopisz go:",FinTech,HealthTech,FashionTech,E-commerce,SportTech,Non-profit,PropTech (nieruchomości),Cybersecurity,HR,"Jeżeli pominięto branżę, na której się znasz dopisz ją:"
2,Chcę uczestniczyć w projekcie data,3.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
3,Chcę uczestniczyć w projekcie data,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,
7,Chcę uczestniczyć w projekcie data,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,"Testowanie oprogramowania, proste automaty z użyciem selenium.",2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,
9,Chcę uczestniczyć w projekcie data,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,
10,Chcę uczestniczyć w projekcie data,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,Drążenie Dancyh (Data Mining),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"Life Sciences, trochę się znam"
11,Chcę uczestniczyć w projekcie data,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,
12,Chcę uczestniczyć w projekcie data,0.0,2.0,0.0,3.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,
13,Chcę uczestniczyć w projekcie data,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,
14,Chcę uczestniczyć w projekcie data,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,"Excel, SQL, PowerBI",0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
15,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,Umiem bardzo dobrze rozplanować obowiązki swoje i osób z którymi miałem przyjemność współpracować :D,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,
16,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,
18,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,Chcę uczestniczyć w projekcie data,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,Chcę uczestniczyć w projekcie data,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,Chcę uczestniczyć w projekcie data,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,
22,Chcę uczestniczyć w projekcie data,3.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,
27,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,
28,Chcę uczestniczyć w projekcie data,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,"Programowanie C++, tworzenie gier / scen w silniku Unreal Engine 5",2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,
30,Chcę uczestniczyć w projekcie data,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,Wizualizacja danych w R w tym shiny,3.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,Dane przestrzenne
31,Chcę uczestniczyć w projekcie data,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
33,Chcę uczestniczyć w projekcie data,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,
34,Chcę uczestniczyć w projekcie data,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37,Chcę uczestniczyć w projekcie data,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,
44,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,
46,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,
48,Chcę uczestniczyć w projekcie data,3.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,
49,Chcę uczestniczyć w projekcie data,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
51,Chcę uczestniczyć w projekcie data,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,
